1: 0TS9: (30.0156, 97.7372) 20.9062
2: 50R: (29.8503, 97.6725) 38.2629
3: HYI: (29.8928, 97.8631) 38.3427
4: 1TX4: (30.4286, 97.9706) 38.8694
5: 7TS3: (29.96, 97.9853) 39.9974
6: 2XA5: (29.8036, 97.6911) 43.5025
7: 8XS3: (30.5669, 97.8294) 44.1523
8: RYW: (30.4986, 97.9694) 44.3801
9: 41XS: (30.5392, 97.4189) 45.2803
10: 7TS2: (29.8314, 97.8892) 45.5487
11: T74: (30.5728, 97.4433) 47.3633
12: 77T: (30.6022, 97.8189) 47.5409
13: 1XA5: (30.135, 97.1428) 51.1122
14: XS73: (29.8736, 97.2883) 51.2111
15: 84R: (30.0283, 97.1669) 51.7975
16: T91: (29.7283, 97.6594) 51.838
17: 88R: (30.4781, 98.1211) 53.5661
18: 9TX4: (30.6597, 97.9111) 56.6684
19: 9TE7: (30.2453, 97.0828) 56.7034
20: 0XS6: (30.5011, 98.1469) 57.0723
21: TA75: (30.3917, 97.1083) 58.2214
22: 77TS: (29.7994, 98.085) 59.3827
23: 8TA3: (30.5169, 98.1742) 60.2197
24: 91TE: (30.7247, 97.8619) 61.7687
25: XS12: (30.6761, 98.0175) 63.0783
26: 85TE: (29.6342, 97.8117) 63.7709
27: BAZ: (29.7044, 98.0422) 65.2274
28: TX09: (29.6756, 98.0128) 66.4757
29: XS03: (30.4814, 98.2811) 66.7666
30: XS24: (29.8297, 97.0992) 68.3016
31: 71TE: (30.3781, 98.3761) 70.8089
32: TE75: (30.4125, 96.9667) 71.7412
33: 5TS8: (29.8086, 98.2725) 72.1556
34: E70: (29.6025, 97.9906) 72.7108
35: SEQ: (29.5658, 97.9083) 73.5763
36: TE51: (29.5392, 97.835) 74.5719
37: 9TA1: (29.6586, 98.1378) 74.7119
38: 86TA: (30.6128, 98.2975) 76.0658
39: 3T5: (29.9081, 96.95) 76.2608
40: 48TS: (29.6678, 98.1989) 77.6294
41: 14TA: (29.8986, 98.4031) 77.8518
42: 4XA4: (30.735, 97.1433) 78.4966
43: RCK: (30.6317, 96.9897) 81.3649
44: 73TA: (30.9208, 97.5397) 81.7299
45: XS05: (29.5989, 98.1711) 81.9631
46: 0TX6: (29.5053, 97.9969) 82.8568
47: 1XS0: (29.9225, 98.4808) 83.6842
48: XS75: (30.4544, 98.4892) 83.7742
49: 2KL: (30.5989, 98.4086) 83.912
50: 1T7: (29.8117, 98.4261) 84.3319
51: 67TE: (30.9497, 97.7967) 84.8569
52: 0TS4: (30.0919, 96.795) 84.9068
53: XS95: (29.6769, 96.9706) 88.618
54: TS76: (30.2503, 98.5947) 89.0632
55: 9TE6: (29.9169, 96.8003) 89.2091
56: 69TS: (30.9989, 97.7558) 89.8325
57: 88TE: (29.9017, 96.7992) 89.9124
58: 44TE: (30.6836, 98.4169) 89.9227
59: 1T8: (29.7392, 98.4511) 90.6832
60: 1TE4: (29.4956, 98.1578) 90.8358
61: TS18: (30.6544, 98.4786) 92.8831
62: XS17: (30.7092, 96.9019) 93.2612
63: TE86: (29.4444, 98.1128) 93.7
64: XS49: (29.4903, 97.1219) 94.4683
65: TE67: (29.4292, 98.1317) 96.0409
66: 72XS: (30.0336, 96.6847) 96.4444
67: 9TX5: (29.7447, 98.5372) 97.3571
68: 69TE: (30.9264, 98.2364) 97.8067
69: 54TX: (30.6775, 98.5253) 98.0276
70: XS89: (29.6211, 98.4558) 98.9969
71: ILE: (31.0858, 97.6864) 99.1316
72: TE36: (29.3919, 97.1847) 100.775
73: TE48: (31.045, 98.0428) 101.086
74: T94: (29.5703, 98.4683) 103.631
75: TS22: (29.2417, 97.6297) 106.007
76: SAT: (29.5336, 98.4697) 106.515
